Title,Old Url,New Url,Status,Notes,Group,Name,Whole Tag,Suggested Links
Apply to an employment tribunal (ET1 form) : Directgov - Do it online,http://www.direct.gov.uk/en/Diol1/DoItOnline/DG_4017934,https://www.gov.uk/employment-tribunals/,301,"",content-type section site source status destination,article do-it-online directgov mapping-exercise closed content,content-type:article section:do-it-online site:directgov source:mapping-exercise status:closed destination:content,
Apply to be a magistrate : Directgov - Home and community,http://www.direct.gov.uk/en/HomeAndCommunity/Gettinginvolvedinyourcommunity/Volunteering/DG_195543,https://www.gov.uk/become-magistrate/apply-to-be-a-magistrate,301,"",content-type section site source status destination,article home-and-community directgov mapping-exercise closed content,content-type:article section:home-and-community site:directgov source:mapping-exercise status:closed destination:content,
Apply to exchange a vehicle licence (form V70) : Directgov - Do it online,http://www.direct.gov.uk/en/Diol1/DoItOnline/DG_4017708,https://www.gov.uk/exchange-tax-disc,301,"",content-type section site source status destination,article do-it-online directgov mapping-exercise closed content,content-type:article section:do-it-online site:directgov source:mapping-exercise status:closed destination:content,
Apply to join the Police Force : Directgov - Do it online,http://www.direct.gov.uk/en/Diol1/DoItOnline/DG_4017959,https://www.gov.uk/join-police,301,"",content-type section site source status destination,article do-it-online directgov mapping-exercise closed content,content-type:article section:do-it-online site:directgov source:mapping-exercise status:closed destination:content,
Apply to receive tax-free interest on your savings (form R85) : Directgov - Do it online,http://www.direct.gov.uk/en/Diol1/DoItOnline/DG_4017954,https://www.gov.uk/apply-tax-free-interest-on-savings,301,"",content-type section site source status destination,article do-it-online directgov mapping-exercise closed content,content-type:article section:do-it-online site:directgov source:mapping-exercise status:closed destination:content,
Apply to register a vehicle under its original number (form V765) : Directgov - Do it online,http://www.direct.gov.uk/en/Diol1/DoItOnline/DG_4017797,https://www.gov.uk/vehicle-registration/old-vehicles,301,"",content-type section site source status destination,article do-it-online directgov mapping-exercise closed content,content-type:article section:do-it-online site:directgov source:mapping-exercise status:closed destination:content,
Apply to register your imported vehicle : Directgov - Do it online,http://www.direct.gov.uk/en/Diol1/DoItOnline/DG_10015917,https://www.gov.uk/importing-vehicles-into-the-uk/,301,"",content-type section site source status destination,article do-it-online directgov mapping-exercise closed content,content-type:article section:do-it-online site:directgov source:mapping-exercise status:closed destination:content,
"Applying for a National Insurance number : Directgov - Money, tax and benefits",http://www.direct.gov.uk/en/MoneyTaxAndBenefits/Taxes/BeginnersGuideToTax/NationalInsurance/IntroductiontoNationalInsurance/DG_190057,https://www.gov.uk/national-insurance-number,301,"",content-type section site source status destination,article tax directgov mapping-exercise closed content,content-type:article section:tax site:directgov source:mapping-exercise status:closed destination:content,
Applying for a course : Directgov - Education and learning,http://www.direct.gov.uk/en/EducationAndLearning/UniversityAndHigherEducation/ApplyingForAHigherEducationCourse/index.htm,https://www.gov.uk/higher-education-courses-find-and-apply,301,"",content-type section site source status destination,nav education-and-learning directgov mapping-exercise closed content,content-type:nav section:education-and-learning site:directgov source:mapping-exercise status:closed destination:content,
Applying for a criminal records check : Directgov - Employment,http://www.direct.gov.uk/en/Employment/Startinganewjob/DG_195811,https://www.gov.uk/crb-criminal-records-bureau-check,301,"",content-type section site source status reviewed destination,article employment-employees directgov mapping-exercise closed no content,content-type:article section:employment-employees site:directgov source:mapping-exercise status:closed reviewed:no destination:content,""
Applying for a dropped kerb : Directgov - Home and community,http://www.direct.gov.uk/en/HomeAndCommunity/WhereYouLive/StreetsParkingCleaningAndLighting/DG_10026223,https://www.gov.uk/apply-dropped-kerb,301,"",content-type section site source status destination,article home-and-community directgov mapping-exercise closed content,content-type:article section:home-and-community site:directgov source:mapping-exercise status:closed destination:content,
"Applying for a financial order : Directgov - Government, citizens and rights",http://www.direct.gov.uk/en/Governmentcitizensandrights/Divorceseparationandrelationshipbreakdown/Moneypropertyandpossessionswhenyourrelationshipends/Workingoutmoneyandpropertythroughancillaryrelief/DG_193772,https://www.gov.uk/money-property-when-relationship-ends/apply-for-a-financial-order,301,"",content-type section site source status destination,article government-citizens-and-rights directgov mapping-exercise closed content,content-type:article section:government-citizens-and-rights site:directgov source:mapping-exercise status:closed destination:content,
Applying for a job online : Directgov - Employment,http://www.direct.gov.uk/en/Employment/Jobseekers/Helpapplyingforajob/DG_173605,https://www.gov.uk/browse/working/finding-job,301,24/09/12 AK - updated as GOV.UK article removed.,content-type section site source status reviewed destination,article jobseekers directgov mapping-exercise closed no content,content-type:article section:jobseekers site:directgov source:mapping-exercise status:closed reviewed:no destination:content,""
Applying for a new or renewed child passport : Directgov - Travel and transport,http://www.direct.gov.uk/en/TravelAndTransport/Passports/Applyingforaneworrenewedchildpassport/index.htm,https://www.gov.uk/get-a-child-passport,301,"",content-type section site source status reviewed destination,nav travel-and-transport directgov mapping-exercise closed no content,content-type:nav section:travel-and-transport site:directgov source:mapping-exercise status:closed reviewed:no destination:content,""
Applying for a provisional driving licence : Directgov - Motoring,http://www.direct.gov.uk/en/Motoring/DriverLicensing/NeedANewOrUpdatedLicence/DG_10012514,https://www.gov.uk/apply-first-provisional-driving-licence,301,"Use this space to enter notes to Donna/Lisa, eg potential content changes to gov.uk, potential new need",content-type section site source status destination,article motoring directgov mapping-exercise closed content,content-type:article section:motoring site:directgov source:mapping-exercise status:closed destination:content,
"Applying for a public appointment : Directgov - Government, citizens and rights",http://www.direct.gov.uk/en/Governmentcitizensandrights/UKgovernment/UKpublicappointments/DG_067110,"",410,"Information available elsewhere on the web

CO",content-type section site source status reviewed destination,article government-citizens-and-rights directgov mapping-exercise closed no gone,content-type:article section:government-citizens-and-rights site:directgov source:mapping-exercise status:closed reviewed:no destination:gone,http://publicappointments.cabinetoffice.gov.uk/
Applying for a refund of vehicle tax : Directgov - Motoring,http://www.direct.gov.uk/en/Motoring/OwningAVehicle/HowToTaxYourVehicle/DG_10012526,https://www.gov.uk/apply-for-tax-disc-refund-form-v14,301,"Use this space to enter notes to Donna/Lisa, eg potential content changes to gov.uk, potential new need",content-type section site source status destination,article motoring directgov mapping-exercise closed content,content-type:article section:motoring site:directgov source:mapping-exercise status:closed destination:content,
Applying for a school place: admissions criteria : Directgov - Parents,http://www.direct.gov.uk/en/Parents/Schoolslearninganddevelopment/ChoosingASchool/DG_4016369,https://www.gov.uk/schools-admissions/admissions-criteria,301,"",content-type section site source status destination,article parents directgov mapping-exercise closed content,content-type:article section:parents site:directgov source:mapping-exercise status:closed destination:content,
Applying for court orders if you disagree about children : Directgov - Parents,http://www.direct.gov.uk/en/Parents/Lookingafterchildrenifyoudivorceorseparate/Childrendivorceseparationandcourts/DG_192819,https://www.gov.uk/looking-after-children-divorce/types-of-court-order,301,"",content-type section site source status reviewed destination,article parents directgov mapping-exercise closed no content,content-type:article section:parents site:directgov source:mapping-exercise status:closed reviewed:no destination:content,
"Applying for probate : Directgov - Government, citizens and rights",http://www.direct.gov.uk/en/Governmentcitizensandrights/Death/Preparation/DG_10029716,https://www.gov.uk/wills-probate-inheritance/applying-for-a-grant-of-representation,301,"",content-type section site source status destination,article government-citizens-and-rights directgov mapping-exercise closed content,content-type:article section:government-citizens-and-rights site:directgov source:mapping-exercise status:closed destination:content,
Applying for student finance : Directgov - Education and learning,http://www.direct.gov.uk/en/EducationAndLearning/UniversityAndHigherEducation/StudentFinance/Gettingstarted/index.htm,https://www.gov.uk/browse/education/student-finance,301,"02/10/12 AK - updated due to nav changes.
Very broad - I think a search may be best",content-type section site source status reviewed destination,nav education-and-learning directgov mapping-exercise closed no content,content-type:nav section:education-and-learning site:directgov source:mapping-exercise status:closed reviewed:no destination:content,""
Applying for the 16 to 19 bursary : Directgov - Education and learning,http://www.direct.gov.uk/en/EducationAndLearning/14To19/MoneyToLearn/16to19bursary/DG_066955,https://www.gov.uk/1619-bursary-fund,301,"",content-type section site source status destination,article education-and-learning directgov mapping-exercise closed content,content-type:article section:education-and-learning site:directgov source:mapping-exercise status:closed destination:content,
Applying for your first adult passport : Directgov - Travel and transport,http://www.direct.gov.uk/en/TravelAndTransport/Passports/Applyingforyourfirstadultpassport/index.htm,https://www.gov.uk/apply-first-adult-passport,301,"14/10/12 AK - updated, top 500 review.",content-type section site source status reviewed destination,nav travel-and-transport directgov mapping-exercise closed no content,content-type:nav section:travel-and-transport site:directgov source:mapping-exercise status:closed reviewed:no destination:content,""
Applying to buy your home through Right to Acquire : Directgov - Home and community,http://www.direct.gov.uk/en/HomeAndCommunity/BuyingAndSellingYourHome/HomeBuyingSchemes/DG_186954,https://www.gov.uk/right-to-acquire-buying-housing-association-home,301,"25/10/12 AK - updated, integration tests.",content-type section site source status reviewed destination,article home-and-community directgov mapping-exercise closed no content,content-type:article section:home-and-community site:directgov source:mapping-exercise status:closed reviewed:no destination:content,""
Applying to buy your home through Right to Buy : Directgov - Home and community,http://www.direct.gov.uk/en/HomeAndCommunity/BuyingAndSellingYourHome/HomeBuyingSchemes/DG_186983,https://www.gov.uk/right-to-buy-buying-your-council-home,301,"",content-type section site source status reviewed destination,article home-and-community directgov mapping-exercise closed no content,content-type:article section:home-and-community site:directgov source:mapping-exercise status:closed reviewed:no destination:content,""
Applying to use the CSA : Directgov - Parents,http://www.direct.gov.uk/en/Parents/ChildMaintenance/Arrangingchildmaintenance/DG_199135,https://www.gov.uk/arranging-child-maintenance-child-support-agency/how-to-apply,301,"14/10/12 AK - updated, top 500 review.",content-type section site source status reviewed destination,article parents directgov mapping-exercise closed no content,content-type:article section:parents site:directgov source:mapping-exercise status:closed reviewed:no destination:content,""
Apprenticeships : Directgov - Education and learning,http://www.direct.gov.uk/en/EducationAndLearning/14To19/OptionsAt16/DG_4001327,https://www.gov.uk/apprenticeships-guide,301,"",content-type section site source status reviewed destination,article education-and-learning directgov mapping-exercise closed no content,content-type:article section:education-and-learning site:directgov source:mapping-exercise status:closed reviewed:no destination:content,""
Apprenticeships : Directgov - Education and learning,http://www.direct.gov.uk/en/EducationAndLearning/AdultLearning/TrainingAndWorkplaceLearning/DG_4001327,https://www.gov.uk/apprenticeships-guide,301,"i box needs full stop at end

(Lisa doing)",content-type section site source status reviewed destination,article education-and-learning directgov mapping-exercise closed yes content,content-type:article section:education-and-learning site:directgov source:mapping-exercise status:closed reviewed:yes destination:content,""
Approaching retirement - when to retire and what you need to do : Directgov - Pensions and retiremen,http://www.direct.gov.uk/en/Pensionsandretirementplanning/PlanningForRetirement/DG_10026793,https://www.gov.uk/plan-retirement-income,301,some advice - doesn't map directly,content-type section site source status reviewed destination,article pensions-and-retirement-planning directgov mapping-exercise closed no content,content-type:article section:pensions-and-retirement-planning site:directgov source:mapping-exercise status:closed reviewed:no destination:content,""
Arachnoid cyst and driving : Directgov - Motoring,http://www.direct.gov.uk/en/Motoring/DriverLicensing/MedicalRulesForDrivers/MedicalA-Z/DG_185597,https://www.gov.uk/arachnoid-cyst-and-driving,301,"content coming

To be incorporated into a new custom tool",content-type section site source status reviewed destination,article motoring directgov mapping-exercise closed no content,content-type:article section:motoring site:directgov source:mapping-exercise status:closed reviewed:no destination:content,""
Arbitration in workplace disputes : Directgov - Employment,http://www.direct.gov.uk/en/Employment/ResolvingWorkplaceDisputes/Mediationconciliationandarbitration/DG_173234,https://www.gov.uk/solve-workplace-dispute/mediation-conciliation-and-arbitration,301,"",content-type section site source status destination,article employment-employees directgov mapping-exercise closed content,content-type:article section:employment-employees site:directgov source:mapping-exercise status:closed destination:content,
Ards Borough Council : Directgov - Directories,http://www.direct.gov.uk/en/Dl1/Directories/DG_10011736,"",410,Info elsewhere on web,content-type section site source status reviewed destination,contact directories directgov mapping-exercise closed no gone,content-type:contact section:directories site:directgov source:mapping-exercise status:closed reviewed:no destination:gone,http://www.nidirect.gov.uk/local-councils-in-northern-ireland
Are you in debt? : Directgov - Young people,http://www.direct.gov.uk/en/YoungPeople/Money/DebtAndYou/DG_10027627,"",410,Info elsewhere on web,content-type section site source status reviewed destination,article young-people directgov mapping-exercise closed no gone,content-type:article section:young-people site:directgov source:mapping-exercise status:closed reviewed:no destination:gone,https://www.moneyadviceservice.org.uk/en/categories/young-people-and-money
Are your details up to date with DVLA? : Directgov - Motoring,http://www.direct.gov.uk/en/Motoring/DriverLicensing/NeedANewOrUpdatedLicence/DG_10021376,"",410,"11/07/12 AK - removed mapping; review-o-matic showed the match to 'your driving licence' was wrong.

15/06/12 AK - updated new URL.
covered in existing gov.uk content",content-type section site source status reviewed destination,article motoring directgov mapping-exercise closed no gone,content-type:article section:motoring site:directgov source:mapping-exercise status:closed reviewed:no destination:gone,
Argyll and Bute Council : Directgov - Directories,http://www.direct.gov.uk/en/Dl1/Directories/DG_10011737,"",410,Info elsewhere on web,content-type section site source status reviewed destination,contact directories directgov mapping-exercise closed no gone,content-type:contact section:directories site:directgov source:mapping-exercise status:closed reviewed:no destination:gone,http://www.cosla.gov.uk/scottish-local-government
Armagh City and District Council : Directgov - Directories,http://www.direct.gov.uk/en/Dl1/Directories/DG_10011738,"",410,Info elsewhere on web,content-type section site source status reviewed destination,contact directories directgov mapping-exercise closed no gone,content-type:contact section:directories site:directgov source:mapping-exercise status:closed reviewed:no destination:gone,http://www.nidirect.gov.uk/local-councils-in-northern-ireland
Armed Forces Compensation Scheme : Directgov - Disabled people,http://www.direct.gov.uk/en/DisabledPeople/FinancialSupport/OtherBenefitsAndSupport/DG_066322,https://www.gov.uk/armed-forces-compensation-scheme,301,"Guide being looked at again re structure 

Need to look at guide again as don't think it is properly structured (there's stuff in 'further information' that should be elsewhere, for example)

Change existing need",content-type section site source status reviewed destination,article disabled-people directgov mapping-exercise closed no content,content-type:article section:disabled-people site:directgov source:mapping-exercise status:closed reviewed:no destination:content,http://www.veterans-uk.info/pensions/afcs2.html
Armed Forces home ownership - a guide : Directgov - Home and community,http://www.direct.gov.uk/en/HomeAndCommunity/BuyingAndSellingYourHome/HomeBuyingSchemes/DG_189938,"",410, Info elsewhere on web,content-type section site source status destination,article home-and-community directgov mapping-exercise closed gone,content-type:article section:home-and-community site:directgov source:mapping-exercise status:closed destination:gone,
Arnold-Chiari malformation and driving : Directgov - Motoring,http://www.direct.gov.uk/en/Motoring/DriverLicensing/MedicalRulesForDrivers/MedicalA-Z/DG_185598,https://www.gov.uk/arnold-chiari-malformation-and-driving,301,"content coming

To be incorporated into a new custom tool",content-type section site source status reviewed destination,article motoring directgov mapping-exercise closed no content,content-type:article section:motoring site:directgov source:mapping-exercise status:closed reviewed:no destination:content,""
"Arranging a funeral : Directgov - Government, citizens and rights",http://www.direct.gov.uk/en/Governmentcitizensandrights/Death/WhatToDoAfterADeath/DG_10029667,https://www.gov.uk/after-a-death/arrange-the-funeral,301,"",content-type section site source status destination,article government-citizens-and-rights directgov mapping-exercise closed content,content-type:article section:government-citizens-and-rights site:directgov source:mapping-exercise status:closed destination:content,
Arranging child maintenance : Directgov - Parents,http://www.direct.gov.uk/en/Parents/ChildMaintenance/Arrangingchildmaintenance/index.htm,https://www.gov.uk/browse/births-deaths-marriages/child,301,"03/10/12 AK - updated due to nav changes.
Need currently being evaluated by GDS content team

On backlog list",content-type section site source status reviewed destination,nav parents directgov mapping-exercise closed no content,content-type:nav section:parents site:directgov source:mapping-exercise status:closed reviewed:no destination:content,""
Arranging health and social care : Directgov - Disabled people,http://www.direct.gov.uk/en/DisabledPeople/HealthAndSupport/ArrangingHealthAndSocialCare/index.htm,,410,"Other

blank page

blank page",content-type section site source status destination,nav disabled-people directgov mapping-exercise closed gone,content-type:nav section:disabled-people site:directgov source:mapping-exercise status:closed destination:gone,
Arrest and prison abroad : Directgov - Travel and transport,http://www.direct.gov.uk/en/TravelAndTransport/Foreigntravel/IfThingsGoWrong/DG_4016871,https://www.gov.uk/arrest-imprison-abroad,301,"",content-type section site source status destination,article travel-and-transport directgov mapping-exercise closed content,content-type:article section:travel-and-transport site:directgov source:mapping-exercise status:closed destination:content,
Arrhythmia and driving : Directgov - Motoring,http://www.direct.gov.uk/en/Motoring/DriverLicensing/MedicalRulesForDrivers/MedicalA-Z/DG_185599,https://www.gov.uk/arrhythmia-and-driving,301,"content coming

To be incorporated into a new custom tool",content-type section site source status reviewed destination,article motoring directgov mapping-exercise closed no content,content-type:article section:motoring site:directgov source:mapping-exercise status:closed reviewed:no destination:content,""
Arriving at prison : Directgov - Crime and justice,http://www.direct.gov.uk/en/CrimeJusticeAndTheLaw/Sentencingprisonandprobation/Goingtoprison/DG_196235,https://www.gov.uk/life-in-prison/arriving-at-prison,301,"",content-type section site source status destination,article crime-and-justice directgov mapping-exercise closed content,content-type:article section:crime-and-justice site:directgov source:mapping-exercise status:closed destination:content,
Arteriovenous malformation and driving : Directgov - Motoring,http://www.direct.gov.uk/en/Motoring/DriverLicensing/MedicalRulesForDrivers/MedicalA-Z/DG_185602,https://www.gov.uk/arteriovenous-malformation-and-driving,301,"content coming

To be incorporated into a new custom tool",content-type section site source status reviewed destination,article motoring directgov mapping-exercise closed no content,content-type:article section:motoring site:directgov source:mapping-exercise status:closed reviewed:no destination:content,""
Arthritis Care : Directgov - Directories,http://www.direct.gov.uk/en/Dl1/Directories/DG_10011150,,410,Info elsewhere on web,content-type section site source status destination,contact directories directgov mapping-exercise closed gone,content-type:contact section:directories site:directgov source:mapping-exercise status:closed destination:gone,
Arthritis and driving : Directgov - Motoring,http://www.direct.gov.uk/en/Motoring/DriverLicensing/MedicalRulesForDrivers/MedicalA-Z/DG_185604,https://www.gov.uk/arthritis-and-driving,301,"content coming

To be incorporated into a new custom tool",content-type section site source status reviewed destination,article motoring directgov mapping-exercise closed no content,content-type:article section:motoring site:directgov source:mapping-exercise status:closed reviewed:no destination:content,""
"Arts.Ed, London : Directgov - Directories",http://www.direct.gov.uk/en/Dl1/Directories/DG_10027129,,410, Info elsewhere on web,content-type section site source status destination,contact directories directgov mapping-exercise closed gone,content-type:contact section:directories site:directgov source:mapping-exercise status:closed destination:gone,
Artsline : Directgov - Directories,http://www.direct.gov.uk/en/Dl1/Directories/DG_069084,,410, Info elsewhere on web,content-type section site source status destination,contact directories directgov mapping-exercise closed gone,content-type:contact section:directories site:directgov source:mapping-exercise status:closed destination:gone,
Arun District Council : Directgov - Directories,http://www.direct.gov.uk/en/Dl1/Directories/DG_10011617,https://www.gov.uk/find-your-local-council,301,Info elsewhere on web,content-type section site source status reviewed destination,contact directories directgov mapping-exercise closed no content,content-type:contact section:directories site:directgov source:mapping-exercise status:closed reviewed:no destination:content,""
Asbestos removal : Directgov - Home and community,http://www.direct.gov.uk/en/HomeAndCommunity/Planning/DoingWorkYourself/DG_10022562,https://www.gov.uk/asbestos-in-home,301,"09/10/12 AK - updated, 404 report.",content-type section site source status reviewed destination,article home-and-community directgov mapping-exercise closed no content,content-type:article section:home-and-community site:directgov source:mapping-exercise status:closed reviewed:no destination:content,""
Ashfield District Council : Directgov - Directories,http://www.direct.gov.uk/en/Dl1/Directories/DG_10011547,https://www.gov.uk/find-your-local-council,301,Info elsewhere on web,content-type section site source status reviewed destination,contact directories directgov mapping-exercise closed no content,content-type:contact section:directories site:directgov source:mapping-exercise status:closed reviewed:no destination:content,
Ashford Borough Council : Directgov - Directories,http://www.direct.gov.uk/en/Dl1/Directories/DG_10011474,https://www.gov.uk/find-your-local-council,301,Info elsewhere on web,content-type section site source status reviewed destination,contact directories directgov mapping-exercise closed no content,content-type:contact section:directories site:directgov source:mapping-exercise status:closed reviewed:no destination:content,
Asperger's syndrome and driving : Directgov - Motoring,http://www.direct.gov.uk/en/Motoring/DriverLicensing/MedicalRulesForDrivers/MedicalA-Z/DG_185605,https://www.gov.uk/asperger-and-driving,301,"content coming

To be incorporated into a new custom tool",content-type section site source status reviewed destination,article motoring directgov mapping-exercise closed no content,content-type:article section:motoring site:directgov source:mapping-exercise status:closed reviewed:no destination:content,""
"Assessing capacity and making decisions in someone's best interests : Directgov - Government, citize",http://www.direct.gov.uk/en/Governmentcitizensandrights/Mentalcapacityandthelaw/Helpingsomeoneelsewithdecisionmaking/DG_186483,"",410,Advice only,content-type section site source status reviewed destination,article government-citizens-and-rights directgov mapping-exercise closed no gone,content-type:article section:government-citizens-and-rights site:directgov source:mapping-exercise status:closed reviewed:no destination:gone,https://www.gov.uk/browse/births-deaths-marriages/lasting-power-attorney
Assets Recovery Agency : Directgov - Directories,http://www.direct.gov.uk/en/Dl1/Directories/DG_10015195,"",410,"Other

page deleted from directgov

Part of the serious organised crime agency who are listed as an organisation on GOV.UK but content page not yet created",content-type section site source status reviewed destination,contact directories directgov mapping-exercise closed no gone,content-type:contact section:directories site:directgov source:mapping-exercise status:closed reviewed:no destination:gone,
Assist UK : Directgov - Directories,http://www.direct.gov.uk/en/Dl1/Directories/DG_069834,,410, Info elsewhere on web,content-type section site source status destination,contact directories directgov mapping-exercise closed gone,content-type:contact section:directories site:directgov source:mapping-exercise status:closed destination:gone,
Assistance and guide dogs : Directgov - Disabled people,http://www.direct.gov.uk/en/DisabledPeople/HealthAndSupport/Equipment/DG_10016340,,410,"Other

On National Archives

On National Archives",content-type section site source status destination,article disabled-people directgov mapping-exercise closed gone,content-type:article section:disabled-people site:directgov source:mapping-exercise status:closed destination:gone,
Assisted Prison Visits Unit : Directgov - Directories,http://www.direct.gov.uk/en/Dl1/Directories/DG_195941,https://www.gov.uk/staying-in-touch-with-someone-in-prison/get-help-with-travel-costs-to-prison,301,"",content-type section site source status destination,contact directories directgov mapping-exercise closed content,content-type:contact section:directories site:directgov source:mapping-exercise status:closed destination:content,
Association for North East Councils : Directgov - Directories,http://www.direct.gov.uk/en/Dl1/Directories/DG_10012116,"",410, Info elsewhere on web,content-type section site source status reviewed destination,contact directories directgov mapping-exercise closed no gone,content-type:contact section:directories site:directgov source:mapping-exercise status:closed reviewed:no destination:gone,http://www.northeastcouncils.gov.uk
Association for Post Natal Illness (APNI) : Directgov - Directories,http://www.direct.gov.uk/en/Dl1/Directories/DG_10010930,,410,Info elsewhere on web,content-type section site source status destination,contact directories directgov mapping-exercise closed gone,content-type:contact section:directories site:directgov source:mapping-exercise status:closed destination:gone,
Association for Spina Bifida and Hydrocephalus : Directgov - Directories,http://www.direct.gov.uk/en/Dl1/Directories/DG_10010931,,410,Info elsewhere on web,content-type section site source status destination,contact directories directgov mapping-exercise closed gone,content-type:contact section:directories site:directgov source:mapping-exercise status:closed destination:gone,
Association of Chief Police Officers (ACPO) : Directgov - Directories,http://www.direct.gov.uk/en/Dl1/Directories/DG_182416,"",410,Info elsewhere on web,content-type section site source status reviewed destination,contact directories directgov mapping-exercise closed no gone,content-type:contact section:directories site:directgov source:mapping-exercise status:closed reviewed:no destination:gone,http://www.acpo.police.uk
Association of Disabled Professionals : Directgov - Directories,http://www.direct.gov.uk/en/Dl1/Directories/DG_10011081,,410,Info elsewhere on web,content-type section site source status destination,contact directories directgov mapping-exercise closed gone,content-type:contact section:directories site:directgov source:mapping-exercise status:closed destination:gone,
Association of Lipspeakers : Directgov - Directories,http://www.direct.gov.uk/en/Dl1/Directories/DG_170547,,410,Info elsewhere on web,content-type section site source status destination,contact directories directgov mapping-exercise closed gone,content-type:contact section:directories site:directgov source:mapping-exercise status:closed destination:gone,
Association of National Park Authorities : Directgov - Directories,http://www.direct.gov.uk/en/Dl1/Directories/DG_10015196,"",410," Info elsewhere on web

Listed as an organisation on GOV.UK but content page not yet created",content-type section site source status reviewed destination,contact directories directgov mapping-exercise closed no gone,content-type:contact section:directories site:directgov source:mapping-exercise status:closed reviewed:no destination:gone,http://www.nationalparks.gov.uk
Association of Police Authorities : Directgov - Directories,http://www.direct.gov.uk/en/Dl1/Directories/DG_10015197,"",410, Info elsewhere on web,content-type section site source status reviewed destination,contact directories directgov mapping-exercise closed no gone,content-type:contact section:directories site:directgov source:mapping-exercise status:closed reviewed:no destination:gone,http://www.apa.police.uk
Association of Scottish Talking Newspapers : Directgov - Directories,http://www.direct.gov.uk/en/Dl1/Directories/DG_068500,,410, Info elsewhere on gov.uk,content-type section site source status destination,contact directories directgov mapping-exercise closed gone,content-type:contact section:directories site:directgov source:mapping-exercise status:closed destination:gone,
Association of Wheelchair Children : Directgov - Directories,http://www.direct.gov.uk/en/Dl1/Directories/DG_10011151,,410,Info elsewhere on web,content-type section site source status destination,contact directories directgov mapping-exercise closed gone,content-type:contact section:directories site:directgov source:mapping-exercise status:closed destination:gone,
Assured shorthold tenancies - housing association tenants : Directgov - Home and community,http://www.direct.gov.uk/en/HomeAndCommunity/Councilandhousingassociationhomes/Housingassociationhomes/DG_188472,https://www.gov.uk/housing-association-homes/types-of-tenancy,301,Brief info on gov.uk,content-type section site source status destination,article home-and-community directgov mapping-exercise closed content,content-type:article section:home-and-community site:directgov source:mapping-exercise status:closed destination:content,
Assured tenancies - housing association tenants : Directgov - Home and community,http://www.direct.gov.uk/en/HomeAndCommunity/Councilandhousingassociationhomes/Housingassociationhomes/DG_188468,https://www.gov.uk/housing-association-homes/types-of-tenancy,301,Brief info on gov.uk,content-type section site source status destination,article home-and-community directgov mapping-exercise closed content,content-type:article section:home-and-community site:directgov source:mapping-exercise status:closed destination:content,
Ataxia and driving : Directgov - Motoring,http://www.direct.gov.uk/en/Motoring/DriverLicensing/MedicalRulesForDrivers/MedicalA-Z/DG_196953,https://www.gov.uk/ataxia-and-driving,301,"content coming

To be incorporated into a new custom tool",content-type section site source status reviewed destination,article motoring directgov mapping-exercise closed no content,content-type:article section:motoring site:directgov source:mapping-exercise status:closed reviewed:no destination:content,""
"Attendance Allowance - eligibility : Directgov - Money, tax and benefits",http://www.direct.gov.uk/en/MoneyTaxAndBenefits/BenefitsTaxCreditsAndOtherSupport/Disabledpeople/DG_10012438,https://www.gov.uk/attendance-allowance,301,"",content-type section site source status destination,article benefits directgov mapping-exercise closed content,content-type:article section:benefits site:directgov source:mapping-exercise status:closed destination:content,
"Attendance Allowance - medical examination : Directgov - Money, tax and benefits",http://www.direct.gov.uk/en/MoneyTaxAndBenefits/BenefitsTaxCreditsAndOtherSupport/Disabledpeople/DG_10023093,https://www.gov.uk/attendance-allowance/further-information,301,"",content-type section site source status destination,article benefits directgov mapping-exercise closed content,content-type:article section:benefits site:directgov source:mapping-exercise status:closed destination:content,
Attendance Allowance - rates and how to claim : Directgov - Disabled people,http://www.direct.gov.uk/en/DisabledPeople/FinancialSupport/DG_10012442,https://www.gov.uk/attendance-allowance,301,"Content needs looking at again - structure of some pages is a bit weird (eg how to claim - talks about a form and then doesn't offer that form for a further 2 paras), some of the formatting is odd, doesn't mention that you can appeal - I think it should be rewritten

Change existing need",content-type section site source status reviewed destination,article disabled-people directgov mapping-exercise closed no content,content-type:article section:disabled-people site:directgov source:mapping-exercise status:closed reviewed:no destination:content,""
"Attendance Allowance - rates and how to claim : Directgov - Money, tax and benefits",http://www.direct.gov.uk/en/MoneyTaxAndBenefits/BenefitsTaxCreditsAndOtherSupport/Disabledpeople/DG_10012442,https://www.gov.uk/attendance-allowance#what-youll-get,301,"",content-type section site source status destination,article benefits directgov mapping-exercise closed content,content-type:article section:benefits site:directgov source:mapping-exercise status:closed destination:content,
"Attendance Allowance - your circumstances : Directgov - Money, tax and benefits",http://www.direct.gov.uk/en/MoneyTaxAndBenefits/BenefitsTaxCreditsAndOtherSupport/Disabledpeople/DG_10012521,https://www.gov.uk/attendance-allowance/what-youll-get,301,"",content-type section site source status reviewed destination,article benefits directgov mapping-exercise closed no content,content-type:article section:benefits site:directgov source:mapping-exercise status:closed reviewed:no destination:content,""
"Attendance Allowance : Directgov - Money, tax and benefits",http://www.direct.gov.uk/en/MoneyTaxAndBenefits/BenefitsTaxCreditsAndOtherSupport/Disabledpeople/DG_10018710,https://www.gov.uk/attendance-allowance,301,"",content-type section site source status destination,article benefits directgov mapping-exercise closed content,content-type:article section:benefits site:directgov source:mapping-exercise status:closed destination:content,
