Title,Old Url,New Url,Status,Notes,Group,Name,Whole Tag,Suggested Links
16to19transport,http://www.direct.gov.uk/16to19transport,https://www.gov.uk/subsidised-college-transport-16-19,301,Currently redirects to en/EducationAndLearning/14To19/MoneyToLearn/ExtraHelp/DG_066984,content-type site source status destination,alias directgov aliases closed content,content-type:alias site:directgov source:aliases status:closed destination:content,
20 per cent grant off cost of electric vans : Directgov - Newsroom,http://www.direct.gov.uk/en/Nl1/Newsroom/DG_201156,,410,"",content-type section site source status destination,article newsroom directgov mapping-exercise closed gone,content-type:article section:newsroom site:directgov source:mapping-exercise status:closed destination:gone,
2007 survey of public attitudes and behaviours toward the environment,http://www.direct.gov.uk/en/Dl1/Directories/DG_069957,"",410,21/09/12 AK - not included in original mapping exercise.,content-type status reviewed destination,contact closed no gone,content-type:contact status:closed reviewed:no destination:gone,""
2007budget,http://www.direct.gov.uk/2007budget,http://www.direct.gov.uk/en/Nl1/Newsroom/DG_066946,301,Currently redirects to en/Nl1/Newsroom/DG_066946,content-type site source status reviewed destination,alias directgov aliases closed no content,content-type:alias site:directgov source:aliases status:closed reviewed:no destination:content,""
24+ Advanced Learning Loans,http://www.direct.gov.uk/en/EducationAndLearning/AdultLearning/FinancialHelpForAdultLearners/DG_202521,https://www.gov.uk/24_advanced_learning_loans,301,"11/10/12 AK - new page on DG. Content not yet on GOV.UK so redirecting to browse page for now.
/19/10/12 SG - new page now live, so updating mapping//",content-type section status reviewed destination,article education-and-learning closed no content,content-type:article section:education-and-learning status:closed reviewed:no destination:content,""
2recycle : Directgov - Directories,http://www.direct.gov.uk/en/Dl1/Directories/DG_074064,,410, Info elsewhere on web,content-type section site source status destination,contact directories directgov mapping-exercise closed gone,content-type:contact section:directories site:directgov source:mapping-exercise status:closed destination:gone,
301 Moved Permanently,http://www.direct.gov.uk/cy/CrimeJusticeAndTheLaw/CounterTerrorism/DG_183993CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/CrimeJusticeAndTheLaw/CounterTerrorism/DG_181898CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/en/Environmentandgreenerliving/Greenerlifestyles/,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/en/Nl1/Newsroom/DG_187286,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Pensionsandretirementplanning/Learning/LearningForFun/DG_10026776CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Governmentcitizensandrights/Yourrightsandresponsibilities/Freedomofinformationanddataprotection/DG_191333CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Video/CrimeandJustice/index.htm,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
