Old Url,New Url,Status,Suggested Links,Archive Link
http://www.direct.gov.uk/en/DisabledPeople/HealthAndSupport/YourRightsInHealth/index.htm,,410,,
http://www.direct.gov.uk/cy/Pensionsandretirementplanning/HomeAndCommunity/Carers/DG_10026855CY,,410,,
http://www.direct.gov.uk/cy/Pensionsandretirementplanning/Learning/LearningAtWork/DG_10027109CY,,410,,
http://www.direct.gov.uk/cy/Pensionsandretirementplanning/HomeAndCommunity/Yourcommunityandenvironment/DG_069311CY,,410,,
http://www.direct.gov.uk/en/YoungPeople/CrimeAndJustice/GoingToThePolice/DG_352,,410,,
http://www.direct.gov.uk/cy/Parents/HavingABaby/AfterTheBirth/DG_4002870CY,,410,,
http://www.direct.gov.uk/cy/HomeAndCommunity/Gettinginvolvedinyourcommunity/Charities/Startingacharity/Isstartingacharitytherightchoice/index.htm,,410,,
http://www.direct.gov.uk/cy/HomeAndCommunity/Gettinginvolvedinyourcommunity/Charities/Complaintsaboutcharities/DG_195053CY,,410,,
http://www.direct.gov.uk/cy/HomeAndCommunity/Gettinginvolvedinyourcommunity/Charities/Startingacharity/Becomingaregisteredcharity/index.htm,,410,,
http://www.direct.gov.uk/en/Diol1/DoItOnline/DG_4017970,,410,,
http://www.direct.gov.uk/en/Environmentandgreenerliving/Greenertravel/Greenerleisure/,,410,,
http://www.direct.gov.uk/en/TravelAndTransport/Publictransport/TrafficManagement/DG_10026767,,410,,
http://www.direct.gov.uk/cy/Pensionsandretirementplanning/Over50HealthAndWellBeing/SupportAndYourEveryDayHealth/DG_10028027CY,,410,,
http://www.direct.gov.uk/cy/Pensionsandretirementplanning/Over50HealthAndWellBeing/SupportAndYourEveryDayHealth/DG_10026841CY,,410,,
http://www.direct.gov.uk/cy/Pensionsandretirementplanning/Over50HealthAndWellBeing/SupportAndYourEveryDayHealth/DG_10026831CY,,410,,
http://www.direct.gov.uk/cy/Pensionsandretirementplanning/Over50HealthAndWellBeing/SupportAndYourEveryDayHealth/DG_10026840CY,,410,,
http://www.direct.gov.uk/cy/Pensionsandretirementplanning/TravelAndLeisure/Leisure/DG_10027571CY,,410,,
http://www.direct.gov.uk/cy/Pensionsandretirementplanning/Over50HealthAndWellBeing/LookingAfterYourself/DG_10026836CY,,410,,
http://www.direct.gov.uk/cy/Pensionsandretirementplanning/Over50HealthAndWellBeing/LookingAfterYourself/DG_10026832CY,,410,,
http://www.direct.gov.uk/cy/Pensionsandretirementplanning/Over50HealthAndWellBeing/LookingAfterYourself/DG_10026837CY,,410,,
http://www.direct.gov.uk/cy/Pensionsandretirementplanning/Over50HealthAndWellBeing/Healthandfitness/DG_10026835CY,,410,,
http://www.direct.gov.uk/cy/Pensionsandretirementplanning/Over50HealthAndWellBeing/Healthandfitness/DG_070069CY,,410,,
http://www.direct.gov.uk/cy/Pensionsandretirementplanning/Over50HealthAndWellBeing/Healthandfitness/DG_10028039CY,,410,,
http://www.direct.gov.uk/en/YoungPeople/Youthfunds/DG_067057,,410,,
http://www.direct.gov.uk/en/YoungPeople/Youthfunds/DG_067056,,410,,
http://www.direct.gov.uk/en/Nl1/Newsroom/DG_187286,,410,,
http://www.direct.gov.uk/en/Dl1/Directories/DG_10014459,,410,,
http://www.direct.gov.uk/en/Dl1/Directories/DG_171158,,410,,
http://www.direct.gov.uk/en/Diol1/DoItOnline/WP/DG_WP194200,https://www.gov.uk/planning-permission-england-wales,301,,
http://www.direct.gov.uk/en/Video/Morevideos/DG_WP199051,,410,,
http://www.direct.gov.uk/en/Video/DG_WP195806,,410,,
http://www.direct.gov.uk/en/Nl1/Newsroom/DG_175724,,410,,
http://www.direct.gov.uk/en/Governmentcitizensandrights/Mentalcapacityandthelaw/HowtheCourtFundsOfficemanagesyourmoney/DG_195026,https://www.gov.uk/become-deputy/overview,301,,
http://www.direct.gov.uk/en/Governmentcitizensandrights/UKgovernment/Honoursawardsandmedals/TheQueensAwardforVoluntaryService/DG_181020,https://www.gov.uk/queens-award-for-voluntary-service/overview,301,,
http://www.direct.gov.uk/en/Parents/Schoolslearninganddevelopment/ChoosingASchool/DG_10023401,https://www.gov.uk/schools-admissions/choosing-schools,301,,
http://www.direct.gov.uk/en/EducationAndLearning/UniversityAndHigherEducation/ApplyingForAHigherEducationCourse/DG_10013213,,410,http://www.ucas.com/,
http://www.direct.gov.uk/en/Motoring/BuyingAndSellingAVehicle/ImportingAndExportingAVehicle/DG_10028413,https://www.gov.uk/importing-vehicles-into-the-uk/mutual-recognition,301,,
http://www.direct.gov.uk/en/Environmentandgreenerliving/Thewiderenvironment/Climatechange/DG_072901,,410,,
http://www.direct.gov.uk/en/Dl1/Directories/Localcouncils/AToZOfLocalCouncils/,https://www.gov.uk/find-your-local-council,301,,
http://www.direct.gov.uk/en/Dl1/Directories/Localcouncils/AToZOfLocalCouncils/DG_A-Z_LG,https://www.gov.uk/find-your-local-council,301,,
http://www.direct.gov.uk/en/Dl1/Directories/Localcouncils/AToZOfLocalCouncils/index.htm,https://www.gov.uk/find-your-local-council,301,,
http://www.direct.gov.uk/en/Diol1/DoItOnline/DG_073190,https://www.gov.uk/browse/housing/local-councils,301,,
http://www.direct.gov.uk/en/Dl1/Directories/A-ZOfCentralGovernment/DG_A-Z_CG,https://www.gov.uk/browse/citizenship/government,301,,
http://www.direct.gov.uk/en/Dl1/Directories/A-ZOfCentralGovernment/index.htm,https://www.gov.uk/government/organisations,301,,
http://www.direct.gov.uk/en/Dl1/Directories/A-ZOfCentralGovernment/,https://www.gov.uk/browse/citizenship/government,301,,
http://www.direct.gov.uk/en/Dl1/Directories/DG_10011076,,410,,
http://www.direct.gov.uk/en/Dl1/Directories/DG_186379,,410,,
http://www.direct.gov.uk/en/Dl1/Directories/DG_10027214,,410,,
http://www.direct.gov.uk/en/Dl1/Directories/DG_171061,,410,,
http://www.direct.gov.uk/en/EducationAndLearning/QualificationsExplained/DG_10039018,,410,http://www.ofqual.gov.uk/,
http://www.direct.gov.uk/en/Diol1/DoItOnline/WP/DG_WP197882,,410,,
http://www.direct.gov.uk/en/Diol1/DoItOnline/WP/DG_WP197883,,410,,
http://www.direct.gov.uk/en/Dl1/Directories/DG_10010985,,410,,
http://www.direct.gov.uk/en/Dl1/Directories/DG_10011732,,410,http://www.cosla.gov.uk/scottish-local-government,
http://www.direct.gov.uk/en/Dl1/Directories/DG_10011733,,410,http://www.cosla.gov.uk/scottish-local-government,
http://www.direct.gov.uk/en/Dl1/Directories/DG_10011199,,410,,
http://www.direct.gov.uk/en/SiteInformation/DG_4004497,,410,,
http://www.direct.gov.uk/en/Motoring/LearnerAndNewDrivers/Passplusdrivingcoursefornewdrivers/DG_182847,https://www.gov.uk/pass-plus/overview,301,,
http://www.direct.gov.uk/en/TravelAndTransport/Passports/Howtochangethenameonyourpassport/DG_174165,https://www.gov.uk/changing-passport-information,301,,
http://www.direct.gov.uk/en/Parents/ChildMaintenance/Arrangingchildmaintenance/DG_199174,https://www.gov.uk/child-maintenance,301,,
http://www.direct.gov.uk/en/Employment/Jobseekers/LookingForWork/DG_177251,,410,https://nationalcareersservice.direct.gov.uk,
