,Pages,URL,HRef,Visits,Views,Average Time Viewed (seconds),Average Time to Serve (ms)
50,Ministry of Defence | Defence For... | Jobseekers | Civilian Careers | Graduates & Specialists,http://www.mod.uk/defenceinternet/defencefor/jobseekers/civiliancareers/graduatesandspecialists.htm,http://www.mod.uk/defenceinternet/defencefor/jobseekers/civiliancareers/graduatesandspecialists.htm,23945,28877,24,0
51,Ministry of Defence | Fact Sheets | Operations Factsheets | Operations in Afghanistan: British Forces,http://www.mod.uk/defenceinternet/factsheets/operationsfactsheets/operationsinafghanistanbritishforces.htm,http://www.mod.uk/defenceinternet/factsheets/operationsfactsheets/operationsinafghanistanbritishforces.htm,23836,34155,124,0
52,Ministry of Defence | Defence For... | Veterans | Medals | Medal FAQs,http://www.mod.uk/defenceinternet/defencefor/veterans/medals/medalfaqs.htm,http://www.mod.uk/defenceinternet/defencefor/veterans/medals/medalfaqs.htm,23275,28936,141,0
53,Ministry of Defence | About Defence | What we do | Personnel | Armed Forces Pensions Compensation and Veterans | Pensions Calculator,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/personnel/pensions/pensionscalculator.htm,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/personnel/pensions/pensionscalculator.htm,22888,31242,143,0
54,Ministry of Defence | About Defence | People | Ministers | Secretary of State for Defence,http://www.mod.uk/defenceinternet/aboutdefence/people/ministers/secretaryofstatefordefence.htm,http://www.mod.uk/defenceinternet/aboutdefence/people/ministers/secretaryofstatefordefence.htm,22744,28209,116,0
55,Ministry of Defence | MicroSite | Defence Infrastructure Organisation | Our Publications | Property for Sale,http://www.mod.uk/defenceinternet/microsite/dio/ourpublications/propertysearch/,http://www.mod.uk/defenceinternet/microsite/dio/ourpublications/propertysearch/,22399,52977,71,0
56,Ministry of Defence | About Defence | What we do | Personnel | Armed Forces Pensions Compensation and Veterans | Armed Forces Pension Scheme 1975 (AFPS 75),http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/personnel/pensions/armedforcespensionscheme1975afps75.htm,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/personnel/pensions/armedforcespensionscheme1975afps75.htm,22290,35392,36,0
57,Ministry of Defence | Defence News | Estate and Environment,http://www.mod.uk/defenceinternet/defencenews/estateandenvironment/estateandenvironment.htm,http://www.mod.uk/defenceinternet/defencenews/estateandenvironment/estateandenvironment.htm,22129,28251,22,0
58,Ministry of Defence | About Defence | Corporate Publications | Personnel Publications | Service Records,http://www.mod.uk/defenceinternet/aboutdefence/corporatepublications/personnelpublications/servicerecords/list.htm,http://www.mod.uk/defenceinternet/aboutdefence/corporatepublications/personnelpublications/servicerecords/list.htm,21965,32987,131,0
59,Ministry of Defence | About Defence | People | Ministers,http://www.mod.uk/defenceinternet/aboutdefence/people/ministers/ministers.htm,http://www.mod.uk/defenceinternet/aboutdefence/people/ministers/ministers.htm,21671,39677,56,0
