,Pages,URL,HRef,Visits,Views,Average Time Viewed (seconds),Average Time to Serve (ms)
366,Ministry of Defence | MicroSite | Defence Infrastructure Organisation | What We Do | Accommodation | SFA: Moving Out,http://www.mod.uk/defenceinternet/microsite/dio/whatwedo/accommodation/sfamovingout.htm,http://www.mod.uk/defenceinternet/microsite/dio/whatwedo/accommodation/sfamovingout.htm,5748,7462,91,0
367,Ministry of Defence | Defence For... | Business | DSA | Air Equipment Sales,http://www.mod.uk/defenceinternet/defencefor/business/dsa/airequipmentsales.htm,http://www.mod.uk/defenceinternet/defencefor/business/dsa/airequipmentsales.htm,5730,6880,29,0
368,Ministry of Defence | About Defence | What we do | Health and Safety | Porton Down Volunteers | Porton Down - A Brief History,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/healthandsafety/portondownvolunteers/portondownabriefhistory.htm,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/healthandsafety/portondownvolunteers/portondownabriefhistory.htm,5721,6741,114,0
369,Ministry of Defence | Defence News | Equipment and Logistics | HMS Diamond ready for operations,http://www.mod.uk/defenceinternet/defencenews/equipmentandlogistics/hmsdiamondreadyforoperations.htm,http://www.mod.uk/defenceinternet/defencenews/equipmentandlogistics/hmsdiamondreadyforoperations.htm,5721,7666,84,0
370,Ministry of Defence | Defence News | Equipment and Logistics | Body armour saves British soldier from Taliban bullet,http://www.mod.uk/defenceinternet/defencenews/equipmentandlogistics/bodyarmoursavesbritishsoldierfromtalibanbullet.htm,http://www.mod.uk/defenceinternet/defencenews/equipmentandlogistics/bodyarmoursavesbritishsoldierfromtalibanbullet.htm,5687,8551,64,0
371,Ministry of Defence | Defence For... | The Service Community | Education | SCE | Working for SCE | Working for Service Children's Education,http://www.mod.uk/defenceinternet/defencefor/servicecommunity/education/sce/workingforsce/workingforservicechildrenseducationintro.htm,http://www.mod.uk/defenceinternet/defencefor/servicecommunity/education/sce/workingforsce/workingforservicechildrenseducationintro.htm,5687,7731,94,0
372,Ministry of Defence | About Defence | Corporate Publications | Personnel Publications | Service Records | Request forms for Service personnel details - Royal Air Force,http://www.mod.uk/defenceinternet/aboutdefence/corporatepublications/personnelpublications/servicerecords/requestformsforservicepersonneldetailsroyalairforce.htm,http://www.mod.uk/defenceinternet/aboutdefence/corporatepublications/personnelpublications/servicerecords/requestformsforservicepersonneldetailsroyalairforce.htm,5671,7905,120,0
373,Ministry of Defence | About Defence | What we do | Security and Intelligence | DBS National Security Vetting | Cerberus & e-Forms Updates and News,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/securityandintelligence/dva/dvacerberusupdatesnews.htm,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/securityandintelligence/dva/dvacerberusupdatesnews.htm,5657,6892,38,0
374,Ministry of Defence | Defence News | History and Honour | New Royal Marines unit stands up in Scotland,http://www.mod.uk/defenceinternet/defencenews/historyandhonour/newroyalmarinesunitstandsupinscotland.htm,http://www.mod.uk/defenceinternet/defencenews/historyandhonour/newroyalmarinesunitstandsupinscotland.htm,5655,7226,105,0
375,Ministry of Defence | Defence For... | Veterans | Medals | LSandGCM (Army),http://www.mod.uk/defenceinternet/defencefor/veterans/medals/lsandgcmarmy.htm,http://www.mod.uk/defenceinternet/defencefor/veterans/medals/lsandgcmarmy.htm,5653,7267,84,0
376,Ministry of Defence | Defence News | Equipment and Logistics | MOD sets out future of Invincible Class carriers,http://www.mod.uk/defenceinternet/defencenews/equipmentandlogistics/modsetsoutfutureofinvincibleclasscarriers.htm,http://www.mod.uk/defenceinternet/defencenews/equipmentandlogistics/modsetsoutfutureofinvincibleclasscarriers.htm,5605,6469,94,0
377,Ministry of Defence | Defence News | Equipment and Logistics | HMS Kent sails after major upgrade,http://www.mod.uk/defenceinternet/defencenews/equipmentandlogistics/hmskentsailsaftermajorupgrade.htm,http://www.mod.uk/defenceinternet/defencenews/equipmentandlogistics/hmskentsailsaftermajorupgrade.htm,5601,8190,62,0
378,Ministry of Defence | Defence For... | Jobseekers | Civilian Careers | Frequently Asked Questions,http://www.mod.uk/defenceinternet/defencefor/jobseekers/civiliancareers/frequentlyaskedquestions.htm,http://www.mod.uk/defenceinternet/defencefor/jobseekers/civiliancareers/frequentlyaskedquestions.htm,5588,6720,100,0
379,Ministry of Defence | Defence News | Military Operations | Soldier from 26 Engineer Regiment killed in Afghanistan,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/soldierfrom26engineerregimentkilledinafghanistan.htm,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/soldierfrom26engineerregimentkilledinafghanistan.htm,5579,6295,80,0
380,Ministry of Defence | Defence News | Military Operations | UK and Afghan troops conduct dawn raid in Helmand,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/ukandafghantroopsconductdawnraidinhelmand.htm,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/ukandafghantroopsconductdawnraidinhelmand.htm,5547,7499,82,0
381,Ministry of Defence | Defence News | History and Honour | Heroic deeds on operations honoured,http://www.mod.uk/defenceinternet/defencenews/historyandhonour/heroicdeedsonoperationshonoured.htm,http://www.mod.uk/defenceinternet/defencenews/historyandhonour/heroicdeedsonoperationshonoured.htm,5544,7752,90,0
382,Ministry of Defence | Defence News | Equipment and Logistics | Soldier survives two Taliban gunshots,http://www.mod.uk/defenceinternet/defencenews/equipmentandlogistics/soldiersurvivestwotalibangunshots.htm,http://www.mod.uk/defenceinternet/defencenews/equipmentandlogistics/soldiersurvivestwotalibangunshots.htm,5541,7911,71,0
383,Ministry of Defence | Defence News | Military Operations | Apache strikes senior Taliban commander,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/apachestrikesseniortalibancommander.htm,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/apachestrikesseniortalibancommander.htm,5521,8140,81,0
384,Ministry of Defence | MicroSite | Defence Infrastructure Organisation | Our Publications | Service Family Accommodation | Housing Allocations Service Centre (HASC),http://www.mod.uk/defenceinternet/microsite/dio/ourpublications/servicefamilyaccommodation/housingallocationsservicecentrehasc.htm,http://www.mod.uk/defenceinternet/microsite/dio/ourpublications/servicefamilyaccommodation/housingallocationsservicecentrehasc.htm,5520,7634,92,0
385,Ministry of Defence | Defence For... | Veterans | Medals | ACSM,http://www.mod.uk/defenceinternet/defencefor/veterans/medals/acsm.htm,http://www.mod.uk/defenceinternet/defencefor/veterans/medals/acsm.htm,5484,7871,62,0
386,Ministry of Defence | Defence For... | Veterans | Medals | VRSM,http://www.mod.uk/defenceinternet/defencefor/veterans/medals/vrsm.htm,http://www.mod.uk/defenceinternet/defencefor/veterans/medals/vrsm.htm,5481,7509,93,0
387,Ministry of Defence | Defence News | Training and Adventure | Paratroopers train with French Airborne Cavalry,http://www.mod.uk/defenceinternet/defencenews/trainingandadventure/paratrooperstrainwithfrenchairbornecavalry.htm,http://www.mod.uk/defenceinternet/defencenews/trainingandadventure/paratrooperstrainwithfrenchairbornecavalry.htm,5475,9579,58,0
388,Ministry of Defence | Defence News | Equipment and Logistics | HMS Liverpool to visit London on farewell tour,http://www.mod.uk/defenceinternet/defencenews/equipmentandlogistics/hmsliverpooltovisitlondononfarewelltour.htm,http://www.mod.uk/defenceinternet/defencenews/equipmentandlogistics/hmsliverpooltovisitlondononfarewelltour.htm,5471,7061,112,0
389,Ministry of Defence | Defence News | Military Operations | UK troops support Afghan led Operation WINTER SUCCESS,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/uktroopssupportafghanledoperationwintersuccess.htm,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/uktroopssupportafghanledoperationwintersuccess.htm,5462,7268,73,0
390,Ministry of Defence | Defence For... | Veterans | Medals | MSM,http://www.mod.uk/defenceinternet/defencefor/veterans/medals/msm.htm,http://www.mod.uk/defenceinternet/defencefor/veterans/medals/msm.htm,5444,6895,78,0
391,Ministry of Defence | Defence For... | The Service Community | BFPO | Latest Recommended Posting Dates for Christmas 2012,http://www.mod.uk/defenceinternet/defencefor/servicecommunity/bfpo/latestrecommendedpostingdatesforchristmas2012.htm,http://www.mod.uk/defenceinternet/defencefor/servicecommunity/bfpo/latestrecommendedpostingdatesforchristmas2012.htm,5437,6261,122,0
392,Ministry of Defence | Defence News | Equipment and Logistics | New fleet of RFA tankers named,http://www.mod.uk/defenceinternet/defencenews/equipmentandlogistics/newfleetofrfatankersnamed.htm,http://www.mod.uk/defenceinternet/defencenews/equipmentandlogistics/newfleetofrfatankersnamed.htm,5434,8247,68,0
393,Ministry of Defence | About Defence | Corporate Publications | Policy Strategy and Planning | Defence Reform | Defence Reform report into structure and management of MOD,http://www.mod.uk/defenceinternet/aboutdefence/corporatepublications/policystrategyandplanning/defencereform/defencereformreportintostructureandmanagementofmod.htm,http://www.mod.uk/defenceinternet/aboutdefence/corporatepublications/policystrategyandplanning/defencereform/defencereformreportintostructureandmanagementofmod.htm,5431,7104,87,0
394,Ministry of Defence | About Defence | History | History of the Old War Office | MOD Main building,http://www.mod.uk/defenceinternet/aboutdefence/history/historyoftheoldwaroffice/modmainbuilding.htm,http://www.mod.uk/defenceinternet/aboutdefence/history/historyoftheoldwaroffice/modmainbuilding.htm,5422,6575,85,0
395,Ministry of Defence | Defence News | Equipment and Logistics | HMS Lancaster returns to sea after major refit,http://www.mod.uk/defenceinternet/defencenews/equipmentandlogistics/hmslancasterreturnstoseaaftermajorrefit.htm,http://www.mod.uk/defenceinternet/defencenews/equipmentandlogistics/hmslancasterreturnstoseaaftermajorrefit.htm,5410,7137,68,0
396,Ministry of Defence | Defence News | Military Operations | 35 Engineer Regiment beat the clock to build Helmand checkpoint,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/35engineerregimentbeattheclocktobuildhelmandcheckpoint.htm,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/35engineerregimentbeattheclocktobuildhelmandcheckpoint.htm,5408,7114,65,0
397,Ministry of Defence | About Defence | What we do | Training and Exercises | DCLPA | DefenceSchoolofTransportdst,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/trainingandexercises/dclpa/defenceschooloftransportdst.htm,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/trainingandexercises/dclpa/defenceschooloftransportdst.htm,5408,10775,33,0
398,Ministry of Defence | Defence News | Defence Policy and Business | CGS outlines rationale behind today's Army 2020 announcement,http://www.mod.uk/defenceinternet/defencenews/defencepolicyandbusiness/cgsoutlinesrationalebehindtodaysarmy2020announcement.htm,http://www.mod.uk/defenceinternet/defencenews/defencepolicyandbusiness/cgsoutlinesrationalebehindtodaysarmy2020announcement.htm,5397,6899,92,0
399,Ministry of Defence | Defence News | Training and Adventure | Apaches return to HMS Illustrious,http://www.mod.uk/defenceinternet/defencenews/trainingandadventure/apachesreturntohmsillustrious.htm,http://www.mod.uk/defenceinternet/defencenews/trainingandadventure/apachesreturntohmsillustrious.htm,5396,7119,76,0
400,Ministry of Defence | Defence News | Equipment and Logistics | Prime Minister inspects new carrier construction,http://www.mod.uk/defenceinternet/defencenews/equipmentandlogistics/primeministerinspectsnewcarrierconstruction.htm,http://www.mod.uk/defenceinternet/defencenews/equipmentandlogistics/primeministerinspectsnewcarrierconstruction.htm,5392,6558,77,0
401,Ministry of Defence | Defence News | Military Operations | Lance Corporal Duane Groom killed in Afghanistan,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/lancecorporalduanegroomkilledinafghanistan.htm,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/lancecorporalduanegroomkilledinafghanistan.htm,5377,6264,102,0
402,Ministry of Defence | Defence News | Defence Policy and Business | Future Reserve Forces 2020,http://www.mod.uk/defenceinternet/defencenews/defencepolicyandbusiness/futurereserveforces2020.htm,http://www.mod.uk/defenceinternet/defencenews/defencepolicyandbusiness/futurereserveforces2020.htm,5369,6992,73,0
403,Ministry of Defence | Defence News | Military Operations | 40 Commando takes command in Nahr-e Saraj,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/40commandotakescommandinnahresaraj.htm,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/40commandotakescommandinnahresaraj.htm,5350,7888,68,0
404,Ministry of Defence | Defence For... | Business | DSA | DSA Contractors,http://www.mod.uk/defenceinternet/defencefor/business/dsa/dsacontractors.htm,http://www.mod.uk/defenceinternet/defencefor/business/dsa/dsacontractors.htm,5342,8513,159,0
405,Ministry of Defence | About Defence | Corporate Publications | Air Safety and Aviation Publications | Military Aviation Authority | Manuals,http://www.mod.uk/defenceinternet/aboutdefence/corporatepublications/airsafetyandaviationpublications/maa/manuals/,http://www.mod.uk/defenceinternet/aboutdefence/corporatepublications/airsafetyandaviationpublications/maa/manuals/,5342,9129,116,0
406,Ministry of Defence | Defence News | Military Operations | HMS Diamond joins forces with USS Enterprise,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/hmsdiamondjoinsforceswithussenterprise.htm,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/hmsdiamondjoinsforceswithussenterprise.htm,5339,7778,88,0
407,"Ministry of Defence | About Defence | People | Ministers | Minister for Defence Equipment, Support and Technology",http://www.mod.uk/defenceinternet/aboutdefence/people/ministers/ministerfordefenceequipmentsupportandtechnology.htm,http://www.mod.uk/defenceinternet/aboutdefence/people/ministers/ministerfordefenceequipmentsupportandtechnology.htm,5329,6501,71,0
408,Ministry of Defence | Defence News | Military Operations | RAF Gunners join forces with US Marines in Helmand,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/rafgunnersjoinforceswithusmarinesinhelmand.htm,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/rafgunnersjoinforceswithusmarinesinhelmand.htm,5327,6998,74,0
409,Ministry of Defence | About Defence | What we do | Security and Intelligence | DBS National Security Vetting | What We Do,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/securityandintelligence/dva/whatwedo.htm,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/securityandintelligence/dva/whatwedo.htm,5327,6161,58,0
410,Ministry of Defence | Defence For... | The Service Community | HIVE Information Service | Northern England | Catterick HIVE,http://www.mod.uk/defenceinternet/defencefor/servicecommunity/hive/northernengland/catterickhive.htm,http://www.mod.uk/defenceinternet/defencefor/servicecommunity/hive/northernengland/catterickhive.htm,5324,6726,164,0
411,Ministry of Defence | Defence News | Training and Adventure | HMS Bulwark lands commandos in the Arctic,http://www.mod.uk/defenceinternet/defencenews/trainingandadventure/hmsbulwarklandscommandosinthearctic.htm,http://www.mod.uk/defenceinternet/defencenews/trainingandadventure/hmsbulwarklandscommandosinthearctic.htm,5323,9010,62,0
412,Ministry of Defence | Defence News | Training and Adventure | British and French soldiers train together at Otterburn,http://www.mod.uk/defenceinternet/defencenews/trainingandadventure/britishandfrenchsoldierstraintogetheratotterburn.htm,http://www.mod.uk/defenceinternet/defencenews/trainingandadventure/britishandfrenchsoldierstraintogetheratotterburn.htm,5320,9779,49,0
413,Ministry of Defence | Defence News | Military Operations | Royal Navy saves Spanish vessel from pirate attack,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/royalnavysavesspanishvesselfrompirateattack.htm,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/royalnavysavesspanishvesselfrompirateattack.htm,5315,7431,69,0
414,Ministry of Defence | Defence News | Equipment and Logistics | Huge section of HMS Queen Elizabeth leaves shipyard,http://www.mod.uk/defenceinternet/defencenews/equipmentandlogistics/hugesectionofhmsqueenelizabethleavesshipyard.htm,http://www.mod.uk/defenceinternet/defencenews/equipmentandlogistics/hugesectionofhmsqueenelizabethleavesshipyard.htm,5293,8286,80,0
415,Ministry of Defence | About Defence | What we do | Security and Intelligence | DBS National Security Vetting | Contractors and Consultants,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/securityandintelligence/dva/contractorsandconsultants.htm,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/securityandintelligence/dva/contractorsandconsultants.htm,5292,6163,106,0
416,Ministry of Defence | Defence News | Training and Adventure | Paratroopers undertake public order training,http://www.mod.uk/defenceinternet/defencenews/trainingandadventure/paratroopersundertakepublicordertraining.htm,http://www.mod.uk/defenceinternet/defencenews/trainingandadventure/paratroopersundertakepublicordertraining.htm,5287,7033,56,0
417,Ministry of Defence | Defence News | Defence Policy and Business | BFPO postcode solution improves access to online services for those based overseas,http://www.mod.uk/defenceinternet/defencenews/defencepolicyandbusiness/bfpopostcodesolutionimprovesaccesstoonlineservicesforthosebasedoverseas.htm,http://www.mod.uk/defenceinternet/defencenews/defencepolicyandbusiness/bfpopostcodesolutionimprovesaccesstoonlineservicesforthosebasedoverseas.htm,5282,6125,76,0
418,Ministry of Defence | Defence News | Military Operations | Two soldiers from the Royal Gurkha Rifles killed in Afghanistan,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/twosoldiersfromtheroyalgurkharifleskilledinafghanistan.htm,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/twosoldiersfromtheroyalgurkharifleskilledinafghanistan.htm,5278,5885,91,0
419,Ministry of Defence | Defence News | Military Operations | Typhoon jets arrive at RAF Northolt for Olympics role,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/typhoonjetsarriveatrafnortholtforolympicsrole.htm,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/typhoonjetsarriveatrafnortholtforolympicsrole.htm,5277,7356,71,0
420,"Ministry of Defence | Defence News | Training and Adventure | Air, land and sea forces combine for Exercise Joint Warrior",http://www.mod.uk/defenceinternet/defencenews/trainingandadventure/airlandandseaforcescombineforexercisejointwarrior.htm,http://www.mod.uk/defenceinternet/defencenews/trainingandadventure/airlandandseaforcescombineforexercisejointwarrior.htm,5267,7293,89,0
421,Ministry of Defence | Defence For... | Jobseekers | Civilian Careers | Benefits,http://www.mod.uk/defenceinternet/defencefor/jobseekers/civiliancareers/benefits.htm,http://www.mod.uk/defenceinternet/defencefor/jobseekers/civiliancareers/benefits.htm,5257,6073,104,0
422,Ministry of Defence | Defence News | Equipment and Logistics | HMS Daring stars in Middle East naval showcase,http://www.mod.uk/defenceinternet/defencenews/equipmentandlogistics/hmsdaringstarsinmiddleeastnavalshowcase.htm,http://www.mod.uk/defenceinternet/defencenews/equipmentandlogistics/hmsdaringstarsinmiddleeastnavalshowcase.htm,5254,7152,59,0
423,Ministry of Defence | Defence For... | The Service Community | HIVE Information Service | South West,http://www.mod.uk/defenceinternet/defencefor/servicecommunity/hive/southwest/hivesouthwest.htm,http://www.mod.uk/defenceinternet/defencefor/servicecommunity/hive/southwest/hivesouthwest.htm,5244,8392,41,0
424,Ministry of Defence | Defence News | Equipment and Logistics | RAF laser-guided bomb contract secures hundreds of UK jobs,http://www.mod.uk/defenceinternet/defencenews/equipmentandlogistics/raflaserguidedbombcontractsecureshundredsofukjobs.htm,http://www.mod.uk/defenceinternet/defencenews/equipmentandlogistics/raflaserguidedbombcontractsecureshundredsofukjobs.htm,5237,6462,75,0
425,Ministry of Defence | About Defence | What we do | Air Safety and Aviation | Low Flying | LFAs | Low Flying Area 07,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/airsafetyandaviation/lowflying/lfas/lowflyingarea07.htm,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/airsafetyandaviation/lowflying/lfas/lowflyingarea07.htm,5224,7065,59,0
426,Ministry of Defence | MicroSite | Defence Infrastructure Organisation | What We Do | Next Generation Estate Contracts,http://www.mod.uk/defenceinternet/microsite/dio/whatwedo/ngec/nextgenerationestatecontracts.htm,http://www.mod.uk/defenceinternet/microsite/dio/whatwedo/ngec/nextgenerationestatecontracts.htm,5215,8106,77,0
427,Ministry of Defence | Defence News | Press Centre | Press Releases,http://www.mod.uk/defenceinternet/defencenews/presscentre/pressreleases/prb_t.htm,http://www.mod.uk/defenceinternet/defencenews/presscentre/pressreleases/prb_t.htm,5214,8846,59,0
428,Ministry of Defence | Defence News | Training and Adventure | HMS Daring joins up with US carrier groups,http://www.mod.uk/defenceinternet/defencenews/trainingandadventure/hmsdaringjoinsupwithuscarriergroups.htm,http://www.mod.uk/defenceinternet/defencenews/trainingandadventure/hmsdaringjoinsupwithuscarriergroups.htm,5206,8760,69,0
429,Ministry of Defence | Fact Sheets | Operations Factsheets | Operations in Iraq: British Fatalities,http://www.mod.uk/defenceinternet/factsheets/operationsfactsheets/operationsiniraqbritishfatalities.htm,http://www.mod.uk/defenceinternet/factsheets/operationsfactsheets/operationsiniraqbritishfatalities.htm,5203,6917,81,0
430,Ministry of Defence | Defence News | Equipment and Logistics | Green light for Â£37m Viking regeneration,http://www.mod.uk/defenceinternet/defencenews/equipmentandlogistics/greenlightfor37mvikingregeneration.htm,http://www.mod.uk/defenceinternet/defencenews/equipmentandlogistics/greenlightfor37mvikingregeneration.htm,5200,6953,73,0
431,Ministry of Defence | Defence News | Military Operations | 'Black Rats' prepare to continue Afghanistan transition process,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/blackratspreparetocontinueafghanistantransitionprocess.htm,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/blackratspreparetocontinueafghanistantransitionprocess.htm,5199,7216,73,0
432,Ministry of Defence | Defence News | Defence Policy and Business | Strategic Defence and Security Review published,http://www.mod.uk/defenceinternet/defencenews/defencepolicyandbusiness/strategicdefenceandsecurityreviewpublished.htm,http://www.mod.uk/defenceinternet/defencenews/defencepolicyandbusiness/strategicdefenceandsecurityreviewpublished.htm,5198,6258,180,0
433,Ministry of Defence | Defence News | Training and Adventure | 45 Commando train for rapid reaction duties,http://www.mod.uk/defenceinternet/defencenews/trainingandadventure/45commandotrainforrapidreactionduties.htm,http://www.mod.uk/defenceinternet/defencenews/trainingandadventure/45commandotrainforrapidreactionduties.htm,5193,7709,61,0
434,Ministry of Defence | About Defence | What we do | Science and Technology | DESG | Defence Engineering and Science Group (DESG),http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/scienceandtechnology/desg/defenceengineeringandsciencegroupdesg.htm,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/scienceandtechnology/desg/defenceengineeringandsciencegroupdesg.htm,5188,6786,69,0
435,Ministry of Defence | Defence News | Defence Policy and Business | Combat operations in Afghanistan to continue as planned,http://www.mod.uk/defenceinternet/defencenews/defencepolicyandbusiness/combatoperationsinafghanistantocontinueasplanned.htm,http://www.mod.uk/defenceinternet/defencenews/defencepolicyandbusiness/combatoperationsinafghanistantocontinueasplanned.htm,5182,6059,64,0
436,Ministry of Defence | Defence For... | The Service Community | Benefits,http://www.mod.uk/defenceinternet/defencefor/servicecommunity/benefits/benefits.htm,http://www.mod.uk/defenceinternet/defencefor/servicecommunity/benefits/benefits.htm,5164,6656,62,0
437,Ministry of Defence | Defence News | History and Honour | Soldier honoured for storming insurgent position at 'Devil's Doorstep',http://www.mod.uk/defenceinternet/defencenews/historyandhonour/soldierhonouredforstorminginsurgentpositionatdevilsdoorstep.htm,http://www.mod.uk/defenceinternet/defencenews/historyandhonour/soldierhonouredforstorminginsurgentpositionatdevilsdoorstep.htm,5163,6354,76,0
438,Ministry of Defence | Freedom of Information | Publication Scheme | Search Publication Scheme | Unidentified Aerial Phenomena (UAP) in the UK Air Defence Region,http://www.mod.uk/defenceinternet/freedomofinformation/publicationscheme/searchpublicationscheme/unidentifiedaerialphenomenauapintheukairdefenceregion.htm,http://www.mod.uk/defenceinternet/freedomofinformation/publicationscheme/searchpublicationscheme/unidentifiedaerialphenomenauapintheukairdefenceregion.htm,5161,6156,68,0
439,Ministry of Defence | About Defence | What we do | Defence Estate and Environment | Access and Recreation | Midlands | Nesscliff training area,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/defenceestateandenvironment/accessrecreation/midlands/nessclifftrainingarea.htm,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/defenceestateandenvironment/accessrecreation/midlands/nessclifftrainingarea.htm,5152,6616,118,0
440,Ministry of Defence | About Defence | What we do | Defence Estate and Environment | Access and Recreation | South West | Lulworth ranges,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/defenceestateandenvironment/accessrecreation/southwest/lulworthranges.htm,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/defenceestateandenvironment/accessrecreation/southwest/lulworthranges.htm,5144,7143,63,0
441,Ministry of Defence | Defence News | Equipment and Logistics | HMS Defender moves into her new home,http://www.mod.uk/defenceinternet/defencenews/equipmentandlogistics/hmsdefendermovesintohernewhome.htm,http://www.mod.uk/defenceinternet/defencenews/equipmentandlogistics/hmsdefendermovesintohernewhome.htm,5132,7255,53,0
442,Ministry of Defence | Defence News | Equipment and Logistics | MOD paves way for new wind-farm-friendly radars,http://www.mod.uk/defenceinternet/defencenews/equipmentandlogistics/modpaveswayfornewwindfarmfriendlyradars.htm,http://www.mod.uk/defenceinternet/defencenews/equipmentandlogistics/modpaveswayfornewwindfarmfriendlyradars.htm,5124,6050,94,0
443,Ministry of Defence | Defence News | Military Operations | Soldier from 33 Engineer Regiment (EOD) dies of wounds sustained in Afghanistan,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/soldierfrom33engineerregimenteoddiesofwoundssustainedinafghanistan.htm,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/soldierfrom33engineerregimenteoddiesofwoundssustainedinafghanistan.htm,5116,5536,86,0
444,Ministry of Defence | About Defence | History | History of the MOD | History of the Ministry of Defence,http://www.mod.uk/defenceinternet/aboutdefence/history/historyofthemod/historyoftheministryofdefence.htm,http://www.mod.uk/defenceinternet/aboutdefence/history/historyofthemod/historyoftheministryofdefence.htm,5106,5892,129,0
445,Ministry of Defence | Error | Small Web Page not found (Error 404),http://www.mod.uk/defenceinternet/error/smallwebpagenotfounderror404.htm,http://www.mod.uk/defenceinternet/error/smallwebpagenotfounderror404.htm,5095,6503,85,0
446,Ministry of Defence | Defence News | Training and Adventure | HMS Dauntless impresses in Atlantic exercise,http://www.mod.uk/defenceinternet/defencenews/trainingandadventure/hmsdauntlessimpressesinatlanticexercise.htm,http://www.mod.uk/defenceinternet/defencenews/trainingandadventure/hmsdauntlessimpressesinatlanticexercise.htm,5094,7330,77,0
447,Ministry of Defence | Defence News | History and Honour | Service personnel awarded for outstanding gallantry,http://www.mod.uk/defenceinternet/defencenews/historyandhonour/servicepersonnelawardedforoutstandinggallantry.htm,http://www.mod.uk/defenceinternet/defencenews/historyandhonour/servicepersonnelawardedforoutstandinggallantry.htm,5077,6797,61,0
448,Ministry of Defence | Defence News | Estate and Environment | RAF Akrotiri supporting operations in Afghanistan,http://www.mod.uk/defenceinternet/defencenews/estateandenvironment/rafakrotirisupportingoperationsinafghanistan.htm,http://www.mod.uk/defenceinternet/defencenews/estateandenvironment/rafakrotirisupportingoperationsinafghanistan.htm,5073,7592,84,0
449,Ministry of Defence | About Defence | What we do | Reserve Forces and Cadets | UK Special Forces Reserve | United Kingdom Special Forces (Reserves),http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/reserveforcesandcadets/ukspecialforcesreserve/unitedkingdomspecialforcesreserves.htm,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/reserveforcesandcadets/ukspecialforcesreserve/unitedkingdomspecialforcesreserves.htm,5066,6435,145,0
450,Ministry of Defence | Defence News | Training and Adventure | Dambusters prepare for Afghanistan deployment,http://www.mod.uk/defenceinternet/defencenews/trainingandadventure/dambustersprepareforafghanistandeployment.htm,http://www.mod.uk/defenceinternet/defencenews/trainingandadventure/dambustersprepareforafghanistandeployment.htm,5066,6205,66,0
451,Ministry of Defence | Defence News | Military Operations | Cutting-edge Daring protected by Scimitar as she departs the Rock,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/cuttingedgedaringprotectedbyscimitarasshedepartstherock.htm,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/cuttingedgedaringprotectedbyscimitarasshedepartstherock.htm,5065,7639,61,0
